C:\Program Files\nodejs\node.exe .\dist\src\server.js -debug
> Express ready on http://localhost:3003 : debug=true, pdok=false, runpdok=false
CHILD got start-message
Upload in bestand gezet: ./appdata/publish/temp/gwsw_datamodel_upload.ttl
PARENT got started-message
"Wijkgrens";"Klasse is IMBOR-Kern"
"Woonplaatsgrens";"Klasse is IMBOR-Kern"
"alternatieve naam";"Attribuut is IMBOR-Kern"
Buurtgrens - Klasse met attributen zijn exclusief SW: Volgens KlassenAttributen (de klasse + attributen zijn allen SW)
"Openbare ruimtegrens";"Klasse is IMBOR-Kern"
"alternatieve naam";"Attribuut is IMBOR-Kern"
"verschijningsvorm";"Attribuut is IMBOR-Kern"
"Aanleginrichting";"Klasse is IMBOR-Kern"
"verschijningsvorm";"Attribuut is IMBOR-Kern"
"type bediening";"Attribuut is IMBOR-Kern"
"Aansluiting";"Klasse is IMBOR-Kern"
"verschijningsvorm";"Attribuut is IMBOR-Kern"
Aansluitleiding - Klasse met attributen zijn exclusief SW: Volgens KlassenAttributen (de klasse + attributen zijn allen SW)
Aansluitput - Klasse met attributen zijn exclusief SW: Volgens KlassenAttributen (de klasse + attributen zijn allen SW)
"Aansluitvoorziening";"Klasse is IMBOR-Kern"
"vermogen";"Attribuut is IMBOR-Kern"
"aantal fases";"Attribuut is IMBOR-Kern"
"aantal zekeringen";"Attribuut is IMBOR-Kern"
"verschijningsvorm";"Attribuut is IMBOR-Kern"
"overspanningsbeveiliging";"Attribuut is IMBOR-Kern"
"type overspanningsbeveiliging";"Attribuut is IMBOR-Kern"
"primaire aansluiting";"Attribuut is IMBOR-Kern"
"Aardolieleiding";"Klasse is IMBOR-Kern"
"Abri";"Klasse is IMBOR-Kern"
"reclame";"Attribuut is IMBOR-Kern"
"verschijningsvorm";"Attribuut is IMBOR-Kern"
"vorm";"Attribuut is IMBOR-Kern"
"Achtergrondschild";"Klasse is IMBOR-Kern"
"doorrijhoogte";"Attribuut is IMBOR-Kern"
"Afsluitpaal";"Klasse is IMBOR-Kern"
"verschijningsvorm";"Attribuut is IMBOR-Kern"
"diameter";"Attribuut is IMBOR-Kern"
"verplaatsbaar";"Attribuut is IMBOR-Kern"
"Afvalbak";"Klasse is IMBOR-Kern"
"type afval";"Attribuut is IMBOR-Kern"
"uitneembaar";"Attribuut is IMBOR-Kern"
"verschijningsvorm";"Attribuut is IMBOR-Kern"
"component";"Attribuut is IMBOR-Kern"
"Agrarisch gebied";"Klasse is IMBOR-Kern"
"Antivandalismevoorziening";"Klasse is IMBOR-Kern"
"APV-bord";"Klasse is IMBOR-Kern"
"letterhoogteklasse ondertekst";"Attribuut is IMBOR-Kern"
"apv-verordening";"Attribuut is IMBOR-Kern"
"verschijningsvorm";"Attribuut is IMBOR-Kern"
"ondertekst";"Attribuut is IMBOR-Kern"
"bordafmeting";"Attribuut is IMBOR-Kern"
"opschrift";"Attribuut is IMBOR-Kern"
"letterhoogteklasse opschrift";"Attribuut is IMBOR-Kern"
"stijl opschrift";"Attribuut is IMBOR-Kern"
"Aquaduct";"Klasse is IMBOR-Kern"
"doorvaartbreedte";"Attribuut is IMBOR-Kern"
"doorrijhoogte";"Attribuut is IMBOR-Kern"
"doorrijbreedte";"Attribuut is IMBOR-Kern"
"verschijningsvorm";"Attribuut is IMBOR-Kern"
"afstand tot wegas";"Attribuut is IMBOR-Kern"
"type bediening";"Attribuut is IMBOR-Kern"
"wegnummer";"Attribuut is IMBOR-Kern"
"doorvaartdiepte";"Attribuut is IMBOR-Kern"
"Armatuur";"Klasse is IMBOR-Kern"
"veiligheidsklasse";"Attribuut is IMBOR-Kern"
"bevestigingshoogte";"Attribuut is IMBOR-Kern"
"doorrijhoogte";"Attribuut is IMBOR-Kern"
"verschijningsvorm";"Attribuut is IMBOR-Kern"
"tilthoek";"Attribuut is IMBOR-Kern"
"type afscherming";"Attribuut is IMBOR-Kern"
"aantal connectoren";"Attribuut is IMBOR-Kern"
"IK-waarde";"Attribuut is IMBOR-Kern"
"IP-waarde";"Attribuut is IMBOR-Kern"
"opzetdiameter";"Attribuut is IMBOR-Kern"
"lichtbeeld";"Attribuut is IMBOR-Kern"
"lichtdoorlatend deel materiaal";"Attribuut is IMBOR-Kern"
"lichtdoorlatend deel structuur";"Attribuut is IMBOR-Kern"
"lichtdoorlatend deel vorm";"Attribuut is IMBOR-Kern"
"lichtafschermingskap";"Attribuut is IMBOR-Kern"
"Asbak";"Klasse is IMBOR-Kern"
"verplaatsbaar";"Attribuut is IMBOR-Kern"
"Balustrade";"Klasse is IMBOR-Kern"
"Band";"Klasse is IMBOR-Kern"
"wijze van stellen";"Attribuut is IMBOR-Kern"
"verschijningsvorm";"Attribuut is IMBOR-Kern"
"lengte verhardingselement";"Attribuut is IMBOR-Kern"
"breedte verhardingselement";"Attribuut is IMBOR-Kern"
"hoogte verhardingselement";"Attribuut is IMBOR-Kern"
Beerput - Term is exclusief SW: Staat niet in KlassenAttributen maar heeft wel exclusief Zoekingang Stedelijk Water
"Begraafplaats";"Klasse is IMBOR-Kern"
"Beheervak";"Klasse is IMBOR-Kern"
"Belangenstrook";"Klasse is IMBOR-Kern"
"Benzine- of olieput";"Klasse is IMBOR-Kern"
"Tankstation";"Klasse is IMBOR-Kern"
"Beregeningsinstallatie";"Klasse is IMBOR-Kern"
"verschijningsvorm";"Attribuut is IMBOR-Kern"
"Beregeningsleiding";"Klasse is IMBOR-Kern"
"Beregeningsput";"Klasse is IMBOR-Kern"
"verschijningsvorm";"Attribuut is IMBOR-Kern"
"Beschoeiing";"Klasse is IMBOR-Kern"
"type waterkerende constructie";"Attribuut is IMBOR-Kern"
"aanwezigheid asbest";"Attribuut is IMBOR-Kern"
"kerende hoogte onder waterlijn";"Attribuut is IMBOR-Kern"
"kerende hoogte boven waterlijn";"Attribuut is IMBOR-Kern"
"type verankering";"Attribuut is IMBOR-Kern"
"verschijningsvorm";"Attribuut is IMBOR-Kern"
"zichtbaar";"Attribuut is IMBOR-Kern"
"boven- of onderwater";"Attribuut is IMBOR-Kern"
"aantal palen";"Attribuut is IMBOR-Kern"
"dikte gording";"Attribuut is IMBOR-Kern"
"dikte schot";"Attribuut is IMBOR-Kern"
"dikte palen";"Attribuut is IMBOR-Kern"
"hoogte schot";"Attribuut is IMBOR-Kern"
"lengte palen";"Attribuut is IMBOR-Kern"
"Betaalautomaat";"Klasse is IMBOR-Kern"
"reclame";"Attribuut is IMBOR-Kern"
"Betonning";"Klasse is IMBOR-Kern"
"Beugel";"Klasse is IMBOR-Kern"
"Bierleiding";"Klasse is IMBOR-Kern"
"Bijzondere tegel";"Klasse is IMBOR-Kern"
"verschijningsvorm";"Attribuut is IMBOR-Kern"
"opschrift";"Attribuut is IMBOR-Kern"
"Blok";"Klasse is IMBOR-Kern"
"verschijningsvorm";"Attribuut is IMBOR-Kern"
"Bodemval";"Klasse is IMBOR-Kern"
"Bolder";"Klasse is IMBOR-Kern"
"diameter";"Attribuut is IMBOR-Kern"
"vorm";"Attribuut is IMBOR-Kern"
"Boom";"Klasse is IMBOR-Kern"
"beoogde opkroonhoogte";"Attribuut is IMBOR-Kern"
"boombeleidsstatus";"Attribuut is IMBOR-Kern"
"beoogde omloop boom (regulier)";"Attribuut is IMBOR-Kern"
"boomkroondiameterklasse eindbeeld";"Attribuut is IMBOR-Kern"
"boomhoogteklasse eindbeeld";"Attribuut is IMBOR-Kern"
"vermeerderingsvorm (boom)";"Attribuut is IMBOR-Kern"
"kiemjaar (boom)";"Attribuut is IMBOR-Kern"
"boomvoorziening";"Attribuut is IMBOR-Kern"
"bomenstructuur";"Attribuut is IMBOR-Kern"
"omgevingsrisicoklasse veiligheid";"Attribuut is IMBOR-Kern"
"vrije takval (RAW)";"Attribuut is IMBOR-Kern"
"controlefrequentie veiligheid";"Attribuut is IMBOR-Kern"
"specifieke boomkenmerken";"Attribuut is IMBOR-Kern"
"vereiste vrije doorgang (boom)";"Attribuut is IMBOR-Kern"
"boomkroonvolume eindbeeld";"Attribuut is IMBOR-Kern"
"beoogde omloop boom (snelgroeiend)";"Attribuut is IMBOR-Kern"
"boomgrootte";"Attribuut is IMBOR-Kern"
"beheertype";"Attribuut is IMBOR-Kern"
"boomtype";"Attribuut is IMBOR-Kern"
"controle positie boom";"Attribuut is IMBOR-Kern"
"boomkroontype";"Attribuut is IMBOR-Kern"
"onderstam";"Attribuut is IMBOR-Kern"
"groeiwijze";"Attribuut is IMBOR-Kern"
"stabiliteitskluitdiameter eindbeeld";"Attribuut is IMBOR-Kern"
"boomkroonvolumeklasse eindbeeld";"Attribuut is IMBOR-Kern"
"stedelijkheid buurt";"Attribuut is IMBOR-Kern"
"Boombeschermer";"Klasse is IMBOR-Kern"
"verschijningsvorm";"Attribuut is IMBOR-Kern"
"Boomrooster";"Klasse is IMBOR-Kern"
"worteldoek";"Attribuut is IMBOR-Kern"
"binnendiameter";"Attribuut is IMBOR-Kern"
"diameter";"Attribuut is IMBOR-Kern"
"Boomstam";"Klasse is IMBOR-Kern"
"verplaatsbaar";"Attribuut is IMBOR-Kern"
"Bordes";"Klasse is IMBOR-Kern"
"Brandblusinstallatie";"Klasse is IMBOR-Kern"
"Brandkraan";"Klasse is IMBOR-Kern"
"Brandput";"Klasse is IMBOR-Kern"
"Brievenbus";"Klasse is IMBOR-Kern"
"reclame";"Attribuut is IMBOR-Kern"
"Camera";"Klasse is IMBOR-Kern"
"richtingnummer";"Attribuut is IMBOR-Kern"
"verschijningsvorm";"Attribuut is IMBOR-Kern"
"Carpoolplaats";"Klasse is IMBOR-Kern"
"Centrumgebied";"Klasse is IMBOR-Kern"
"Container";"Klasse is IMBOR-Kern"
"type afval";"Attribuut is IMBOR-Kern"
"boven- of ondergronds";"Attribuut is IMBOR-Kern"
"verschijningsvorm";"Attribuut is IMBOR-Kern"
"voltage";"Attribuut is IMBOR-Kern"
"Coupure";"Klasse is IMBOR-Kern"
"Dam";"Klasse is IMBOR-Kern"
"Damwand";"Klasse is IMBOR-Kern"
"type waterkerende constructie";"Attribuut is IMBOR-Kern"
"verschijningsvorm";"Attribuut is IMBOR-Kern"
"zichtbaar";"Attribuut is IMBOR-Kern"
"type verankering";"Attribuut is IMBOR-Kern"
"aantal palen";"Attribuut is IMBOR-Kern"
"dikte gording";"Attribuut is IMBOR-Kern"
"dikte schot";"Attribuut is IMBOR-Kern"
"dikte palen";"Attribuut is IMBOR-Kern"
"hoogte schot";"Attribuut is IMBOR-Kern"
"lengte palen";"Attribuut is IMBOR-Kern"
Debietmeter - Klasse met attributen zijn exclusief SW: Volgens KlassenAttributen (de klasse + attributen zijn allen SW)
"Deelsportcomplex";"Klasse is IMBOR-Kern"
"type sport";"Attribuut is IMBOR-Kern"
"Detector";"Klasse is IMBOR-Kern"
"verschijningsvorm";"Attribuut is IMBOR-Kern"
"regelprogramma";"Attribuut is IMBOR-Kern"
"afstand tot stopstreep";"Attribuut is IMBOR-Kern"
"Dispenser";"Klasse is IMBOR-Kern"
"verschijningsvorm";"Attribuut is IMBOR-Kern"
"diameter";"Attribuut is IMBOR-Kern"
"Doorvoergat";"Klasse is IMBOR-Kern"
"Douche";"Klasse is IMBOR-Kern"
"verschijningsvorm";"Attribuut is IMBOR-Kern"
Drain - Klasse met attributen zijn exclusief SW: Volgens KlassenAttributen (de klasse + attributen zijn allen SW)
Drainageput - Klasse met attributen zijn exclusief SW: Volgens KlassenAttributen (de klasse + attributen zijn allen SW)
"Drijflijn";"Klasse is IMBOR-Kern"
"Drijvende constructie";"Klasse is IMBOR-Kern"
"verschijningsvorm";"Attribuut is IMBOR-Kern"
"Drinkbak";"Klasse is IMBOR-Kern"
"Drinkwaterinlaat";"Klasse is IMBOR-Kern"
"diameter";"Attribuut is IMBOR-Kern"
"Drinkwaterpunt";"Klasse is IMBOR-Kern"
"verschijningsvorm";"Attribuut is IMBOR-Kern"
"Drukknop";"Klasse is IMBOR-Kern"
"Drukmeter";"Klasse is IMBOR-Kern"
Duiker - Klasse met attributen zijn exclusief SW: Volgens KlassenAttributen (de klasse + attributen zijn allen SW)
"Ecoduct";"Klasse is IMBOR-Kern"
"beperking voor soorten";"Attribuut is IMBOR-Kern"
"modaliteit";"Attribuut is IMBOR-Kern"
"kilometrering eind";"Attribuut is IMBOR-Kern"
"kilometrering begin";"Attribuut is IMBOR-Kern"
"doorrijhoogte";"Attribuut is IMBOR-Kern"
"doorrijbreedte";"Attribuut is IMBOR-Kern"
"afstand tot wegas";"Attribuut is IMBOR-Kern"
"wegnummer";"Attribuut is IMBOR-Kern"
"herbeoordeelde belastingklasse";"Attribuut is IMBOR-Kern"
"originele belastingklasse";"Attribuut is IMBOR-Kern"
"Effluentleiding";"Klasse is IMBOR-Kern"
"Fauna-inspectieput";"Klasse is IMBOR-Kern"
"Faunameubilair";"Klasse is IMBOR-Kern"
"verschijningsvorm";"Attribuut is IMBOR-Kern"
"soortnaam";"Attribuut is IMBOR-Kern"
"verplaatsbaar";"Attribuut is IMBOR-Kern"
"Faunaverblijfplaats";"Klasse is IMBOR-Kern"
"soortnaam";"Attribuut is IMBOR-Kern"
"bewoond";"Attribuut is IMBOR-Kern"
"broedperiode tot";"Attribuut is IMBOR-Kern"
"broedperiode van";"Attribuut is IMBOR-Kern"
"verschijningsvorm";"Attribuut is IMBOR-Kern"
"component";"Attribuut is IMBOR-Kern"
"verplaatsbaar";"Attribuut is IMBOR-Kern"
"Faunavoorziening";"Klasse is IMBOR-Kern"
"hoogte t.o.v. rijbaan";"Attribuut is IMBOR-Kern"
"uv-bestendig";"Attribuut is IMBOR-Kern"
"peilsprong";"Attribuut is IMBOR-Kern"
"hoek aansluiting";"Attribuut is IMBOR-Kern"
"drempelniveau";"Attribuut is IMBOR-Kern"
"watergangdiepte";"Attribuut is IMBOR-Kern"
"soortnaam";"Attribuut is IMBOR-Kern"
"monitoring";"Attribuut is IMBOR-Kern"
"extra bodemlaag";"Attribuut is IMBOR-Kern"
"obstakels";"Attribuut is IMBOR-Kern"
"taludsteilte";"Attribuut is IMBOR-Kern"
"recyclebaar";"Attribuut is IMBOR-Kern"
"verschijningsvorm";"Attribuut is IMBOR-Kern"
"afstand tot wegas";"Attribuut is IMBOR-Kern"
"Fietspad";"Klasse is IMBOR-Kern"
"modaliteit";"Attribuut is IMBOR-Kern"
"verkeersrichting";"Attribuut is IMBOR-Kern"
"verschijningsvorm";"Attribuut is IMBOR-Kern"
"rijrichting";"Attribuut is IMBOR-Kern"
"lengte";"Attribuut is IMBOR-Kern"
"breedte";"Attribuut is IMBOR-Kern"
"aan- of vrijliggend";"Attribuut is IMBOR-Kern"
"Fietsparkeervoorziening";"Klasse is IMBOR-Kern"
"aantal parkeerplaatsen";"Attribuut is IMBOR-Kern"
"verschijningsvorm";"Attribuut is IMBOR-Kern"
"reclame";"Attribuut is IMBOR-Kern"
"verplaatsbaar";"Attribuut is IMBOR-Kern"
"Fietspomp";"Klasse is IMBOR-Kern"
"verplaatsbaar";"Attribuut is IMBOR-Kern"
Filterput - Term is exclusief SW: Staat niet in KlassenAttributen maar heeft wel exclusief Zoekingang Stedelijk Water
"Flyover";"Klasse is IMBOR-Kern"
"modaliteit";"Attribuut is IMBOR-Kern"
"kilometrering eind";"Attribuut is IMBOR-Kern"
"kilometrering begin";"Attribuut is IMBOR-Kern"
"doorrijhoogte";"Attribuut is IMBOR-Kern"
"doorrijbreedte";"Attribuut is IMBOR-Kern"
"afstand tot wegas";"Attribuut is IMBOR-Kern"
"wegnummer";"Attribuut is IMBOR-Kern"
"herbeoordeelde belastingklasse";"Attribuut is IMBOR-Kern"
"originele belastingklasse";"Attribuut is IMBOR-Kern"
"Fontein";"Klasse is IMBOR-Kern"
"type bediening";"Attribuut is IMBOR-Kern"
"Gasleiding";"Klasse is IMBOR-Kern"
"Gasput";"Klasse is IMBOR-Kern"
"Geleideconstructie";"Klasse is IMBOR-Kern"
"verschijningsvorm";"Attribuut is IMBOR-Kern"
"verplaatsbaar";"Attribuut is IMBOR-Kern"
"Geleidewerk";"Klasse is IMBOR-Kern"
"Geluidsscherm";"Klasse is IMBOR-Kern"
"aantal panelen";"Attribuut is IMBOR-Kern"
"wegnummer";"Attribuut is IMBOR-Kern"
