Class1,Property,object
http://data.gwsw.nl/1.6/totaal/Aansluiting,hasPart,http://data.gwsw.nl/1.6/totaal/Inlaat
http://data.gwsw.nl/1.6/totaal/Aansluiting,isPartOf,http://data.gwsw.nl/1.6/totaal/VrijvervalRioolstelsel
http://data.gwsw.nl/1.6/totaal/Aansluiting,isPartOf,http://modellen.geostandaarden.nl/def/nen3610-2022#RegistratieveRuimte
http://data.gwsw.nl/1.6/totaal/Aansluiting,hasPart,http://data.gwsw.nl/1.6/totaal/Standpijp
http://data.gwsw.nl/1.6/totaal/Aansluiting,hasPart,http://data.gwsw.nl/1.6/totaal/Ontlastput
http://data.gwsw.nl/1.6/totaal/Aansluiting,hasPart,http://data.gwsw.nl/1.6/totaal/FlexibelZettingsstuk
http://data.gwsw.nl/1.6/totaal/Aansluiting,hasAspect,http://data.gwsw.nl/1.6/totaal/Aanlegdiepte
http://data.gwsw.nl/1.6/totaal/Aansluiting,isPartOf,http://modellen.geostandaarden.nl/def/nen3610-2022#Bodem
http://data.gwsw.nl/1.6/totaal/Aansluiting,isPartOf,https://data.crow.nl/imbor/def/D92894C0-0539-4A08-ACD8-303B76AEC4C4
http://data.gwsw.nl/1.6/totaal/Aansluiting,hasPart,http://data.gwsw.nl/1.6/totaal/Goot
http://data.gwsw.nl/1.6/totaal/Aansluiting,hasPart,http://data.gwsw.nl/1.6/totaal/Slangsifon
http://data.gwsw.nl/1.6/totaal/Aansluiting,hasPart,http://data.gwsw.nl/1.6/totaal/Ontstoppingsstuk
http://data.gwsw.nl/1.6/totaal/Aansluiting,hasPart,http://data.gwsw.nl/1.6/totaal/Verbindingsstuk
http://data.gwsw.nl/1.6/totaal/Aansluiting,hasConnection,http://data.gwsw.nl/1.6/totaal/Maaiveldorientatie
http://data.gwsw.nl/1.6/totaal/Pomp,hasConnection,https://data.crow.nl/imbor/def/86C535D2-6A5F-48AF-A3D7-1B21DE0DE6C5
http://data.gwsw.nl/1.6/totaal/Pomp,isPartOf,http://data.gwsw.nl/1.6/totaal/Pompput
http://data.gwsw.nl/1.6/totaal/Pomp,isPartOf,http://data.gwsw.nl/1.6/totaal/Gemaal
